Entry Number,Hotel Name,Region,Hotel Type,Star Rating,Check-in Date,Season,Total Revenue,Occupancy Rate (%),Customer Rating (1-5),Feedback Category,Customer Comments
H1312,The Grand Oak,California,Luxury,5,9/19/2024,Fall,58860,97.45,4.1,Service,"Staff was helpful, though not always available."
H1313,Seaside Shores,Florida,Resort,4,9/19/2024,Fall,20090,80.8,3.3,Food,Breakfast was limited but decent.
H1314,Metro Meridian,New York,Business,5,9/19/2024,Fall,12640,90.68,4.1,Cleanliness,Clean enough for a short stay.
H1315,Budget Haven,Texas,Budget,3,9/19/2024,Fall,115180,75.12,3.4,Cleanliness,Found small hairs on carpet.
H1316,Mountain Retreat,Colorado,Boutique,3,9/20/2024,Fall,19660,93.32,4.7,Food,Loved every meal served.
H1317,The Grand Oak,California,Luxury,5,9/20/2024,Fall,117920,85.53,4,Food,Food took a while to arrive.
H1318,Seaside Shores,Florida,Resort,4,9/20/2024,Fall,93040,81.45,5,Amenities,Top-notch amenities with everything you need.
H1319,Metro Meridian,New York,Business,5,9/20/2024,Fall,88710,88.37,4.6,Cleanliness,So clean it felt brand new.
H1320,Budget Haven,Texas,Budget,3,9/20/2024,Fall,71900,78.81,3.2,Cleanliness,Room looked better than hallway.
H1321,Mountain Retreat,Colorado,Boutique,3,9/21/2024,Fall,80140,80.12,4.4,Service,Staff went above and beyond.
H1322,The Grand Oak,California,Luxury,5,9/21/2024,Fall,118220,96.81,4.4,Cleanliness,So clean it felt brand new.
H1323,Seaside Shores,Florida,Resort,4,9/21/2024,Fall,115940,88.91,4.8,Amenities,Lots of extras included.
H1324,Metro Meridian,New York,Business,5,9/21/2024,Fall,33680,94.13,5,Service,Staff went above and beyond.
H1325,Budget Haven,Texas,Budget,3,9/21/2024,Fall,120850,73.48,4.6,Amenities,Lots of extras included.
H1326,Mountain Retreat,Colorado,Boutique,3,9/22/2024,Fall,112430,73.21,4.8,Food,Loved every meal served.
H1327,The Grand Oak,California,Luxury,5,9/22/2024,Fall,81540,95.78,3.6,Cleanliness,Had to dust a bit but overall room was clean.
H1328,Seaside Shores,Florida,Resort,4,9/22/2024,Fall,85440,90.5,4,Amenities,Modern amenities and comfortable spaces.
H1329,Metro Meridian,New York,Business,5,9/22/2024,Fall,29480,88.96,3.4,Food,Food was average.
H1330,Budget Haven,Texas,Budget,3,9/22/2024,Fall,37390,70.04,3.5,Cleanliness,Room was mostly clean.
H1331,Mountain Retreat,Colorado,Boutique,3,9/23/2024,Fall,98460,75.14,3.6,Service,"Staff was helpful, though not always available."
H1332,The Grand Oak,California,Luxury,5,9/23/2024,Fall,9590,91.16,4.5,Cleanliness,Cleaned twice a day – amazing!
H1333,Seaside Shores,Florida,Resort,4,9/23/2024,Fall,31540,92.66,3.2,Cleanliness,Room looked better than hallway.
H1334,Metro Meridian,New York,Business,5,9/23/2024,Fall,57770,73.28,3.5,Amenities,Modern amenities and comfortable spaces.
H1335,Budget Haven,Texas,Budget,3,9/23/2024,Fall,54240,73.34,4.7,Amenities,Convenient and top-quality amenities.
H1336,Mountain Retreat,Colorado,Boutique,3,9/24/2024,Fall,59710,87.78,4.7,Service,Exceptional staff and warm hospitality.
H1337,The Grand Oak,California,Luxury,5,9/24/2024,Fall,50280,85.19,4.2,Cleanliness,So clean it felt brand new.
H1338,Seaside Shores,Florida,Resort,4,9/24/2024,Fall,29520,97.59,4.4,Service,Always greeted with a smile.
H1339,Metro Meridian,New York,Business,5,9/24/2024,Fall,80290,83.94,4.8,Amenities,Lots of extras included.
H1340,Budget Haven,Texas,Budget,3,9/24/2024,Fall,74150,92.09,2.7,Food,Didn't match the 5 star reviews
H1341,Mountain Retreat,Colorado,Boutique,3,9/25/2024,Fall,83340,97.64,5,Food,Tasty and well-prepared dishes.
H1342,The Grand Oak,California,Luxury,5,9/25/2024,Fall,18830,99.6,3.6,Cleanliness,Cleaned twice a day – amazing!
H1343,Seaside Shores,Florida,Resort,4,9/25/2024,Fall,69040,99.14,3.8,Food,Breakfast was limited but decent.
H1344,Metro Meridian,New York,Business,5,9/25/2024,Fall,23470,73.26,4.5,Amenities,Lots of extras included.
H1345,Budget Haven,Texas,Budget,3,9/25/2024,Fall,30870,89.15,3.9,Service,"Staff was helpful, though not always available."
H1346,Mountain Retreat,Colorado,Boutique,3,9/26/2024,Fall,96510,84.54,4.7,Cleanliness,Cleaned twice a day – amazing!
H1347,The Grand Oak,California,Luxury,5,9/26/2024,Fall,77080,96.26,4.2,Cleanliness,So clean it felt brand new.
H1348,Seaside Shores,Florida,Resort,4,9/26/2024,Fall,30050,97.33,3.8,Cleanliness,Room could smell a little better.
H1349,Metro Meridian,New York,Business,5,9/26/2024,Fall,37590,71.1,4.7,Service,Exceptional staff and warm hospitality.
H1350,Budget Haven,Texas,Budget,3,9/26/2024,Fall,82980,91.74,3,Amenities,Okay. Nothing special.
H1351,Mountain Retreat,Colorado,Boutique,3,9/27/2024,Fall,113330,93.03,3.9,Food,Breakfast was limited but decent.
H1352,The Grand Oak,California,Luxury,5,9/27/2024,Fall,21590,76.79,5,Cleanliness,Cleaned twice a day – amazing!
H1353,Seaside Shores,Florida,Resort,4,9/27/2024,Fall,28670,88.61,4.4,Service,Always greeted with a smile.
H1354,Metro Meridian,New York,Business,5,9/27/2024,Fall,119180,83.21,4.3,Cleanliness,So clean it felt brand new.
H1355,Budget Haven,Texas,Budget,3,9/27/2024,Fall,26210,91.53,3.6,Service,No complaints at all with service.
H1356,Mountain Retreat,Colorado,Boutique,3,9/28/2024,Fall,114160,99.26,2.7,Food,Limited vegetarian options.
H1357,The Grand Oak,California,Luxury,5,9/28/2024,Fall,108460,91.97,3.9,Service,"Staff was helpful, though not always available."
H1358,Seaside Shores,Florida,Resort,4,9/28/2024,Fall,36540,84.82,5,Cleanliness,Cleaned twice a day – amazing!
H1359,Metro Meridian,New York,Business,5,9/28/2024,Fall,106350,96.81,4.1,Amenities,Modern amenities and comfortable spaces.
H1360,Budget Haven,Texas,Budget,3,9/28/2024,Fall,121760,90.12,3.4,Cleanliness,Room looked better than hallway.
H1361,Mountain Retreat,Colorado,Boutique,3,9/29/2024,Fall,94150,91.48,4.6,Food,Loved every meal served.
H1362,The Grand Oak,California,Luxury,5,9/29/2024,Fall,66250,96.99,4.7,Amenities,Lots of extras included.
H1363,Seaside Shores,Florida,Resort,4,9/29/2024,Fall,87460,87.46,3.9,Cleanliness,A little bit of trash was still left in trash can.
H1364,Metro Meridian,New York,Business,5,9/29/2024,Fall,39990,85.18,3.7,Cleanliness,Had to dust a bit but overall room was clean.
H1365,Budget Haven,Texas,Budget,3,9/29/2024,Fall,115940,85.69,4.2,Service,Staff went above and beyond.
H1366,Mountain Retreat,Colorado,Boutique,3,9/30/2024,Fall,33920,98.01,4.2,Food,Loved every meal served.
H1367,The Grand Oak,California,Luxury,5,9/30/2024,Fall,16680,75.8,3.8,Cleanliness,A little bit of trash was still left in trash can.
H1368,Seaside Shores,Florida,Resort,4,9/30/2024,Fall,48770,84.14,4.2,Amenities,Top-notch amenities with everything you need.
H1369,Metro Meridian,New York,Business,5,9/30/2024,Fall,87350,91.43,4,Food,Breakfast was limited but decent.
H1370,Budget Haven,Texas,Budget,3,9/30/2024,Fall,22690,98.73,3.6,Cleanliness,Room could smell a little better.
H1371,Mountain Retreat,Colorado,Boutique,3,10/1/2024,Fall,36860,94.67,4,Amenities,"Loved the spa, gym, and pool."
H1372,The Grand Oak,California,Luxury,5,10/1/2024,Fall,83420,80.5,4.9,Cleanliness,Cleaned twice a day – amazing!
H1373,Seaside Shores,Florida,Resort,4,10/1/2024,Fall,85800,86.36,4.7,Cleanliness,So clean it felt brand new.
H1374,Metro Meridian,New York,Business,5,10/1/2024,Fall,95710,89.11,4,Cleanliness,Had to dust a bit but overall room was clean.
H1375,Budget Haven,Texas,Budget,3,10/1/2024,Fall,113850,91.74,4.5,Cleanliness,Cleaned twice a day – amazing!
H1376,Mountain Retreat,Colorado,Boutique,3,10/2/2024,Fall,99190,74.36,4.2,Amenities,Lots of extras included.
H1377,The Grand Oak,California,Luxury,5,10/2/2024,Fall,36830,85.07,4.4,Cleanliness,So clean it felt brand new.
H1378,Seaside Shores,Florida,Resort,4,10/2/2024,Fall,71890,74.89,3.6,Cleanliness,A little bit of trash was still left in trash can.
H1379,Metro Meridian,New York,Business,5,10/2/2024,Fall,98340,79.26,3.2,Food,Food was average.
H1380,Budget Haven,Texas,Budget,3,10/2/2024,Fall,116180,89.24,3.8,Cleanliness,Had to dust a bit but overall room was clean.
H1381,Mountain Retreat,Colorado,Boutique,3,10/3/2024,Fall,32750,75.1,4.5,Service,Staff went above and beyond.
H1382,The Grand Oak,California,Luxury,5,10/3/2024,Fall,40350,91.32,4.5,Food,Loved every meal served.
H1383,Seaside Shores,Florida,Resort,4,10/3/2024,Fall,100350,90.14,3.5,Cleanliness,Clean enough for a short stay.
H1384,Metro Meridian,New York,Business,5,10/3/2024,Fall,23020,86.74,3.9,Cleanliness,Room could smell a little better.
H1385,Budget Haven,Texas,Budget,3,10/3/2024,Fall,43210,71.48,4.4,Amenities,Top-notch amenities with everything you need.
H1386,Mountain Retreat,Colorado,Boutique,3,10/4/2024,Fall,58980,92.9,4.9,Cleanliness,Cleaned twice a day – amazing!
H1387,The Grand Oak,California,Luxury,5,10/4/2024,Fall,33260,71.92,4.2,Food,Loved every meal served.
H1388,Seaside Shores,Florida,Resort,4,10/4/2024,Fall,19020,88.04,4.2,Food,Loved every meal served.
H1389,Metro Meridian,New York,Business,5,10/4/2024,Fall,103770,97.06,4.5,Amenities,Top-notch amenities with everything you need.
H1390,Budget Haven,Texas,Budget,3,10/4/2024,Fall,67300,70.43,4.3,Cleanliness,So clean it felt brand new.
H1391,Mountain Retreat,Colorado,Boutique,3,10/5/2024,Fall,10800,90.95,4.3,Service,Always greeted with a smile.
H1392,The Grand Oak,California,Luxury,5,10/5/2024,Fall,38760,91.19,4,Cleanliness,A little bit of trash was still left in trash can.
H1393,Seaside Shores,Florida,Resort,4,10/5/2024,Fall,21790,75.06,4.2,Amenities,Convenient and top-quality amenities.
H1394,Metro Meridian,New York,Business,5,10/5/2024,Fall,27400,87.02,5,Cleanliness,So clean it felt brand new.
H1395,Budget Haven,Texas,Budget,3,10/5/2024,Fall,50210,76.22,3.5,Cleanliness,Had to dust a bit but overall room was clean.
H1396,Mountain Retreat,Colorado,Boutique,3,10/6/2024,Fall,77060,80.22,3.7,Cleanliness,Room was mostly clean.
H1397,The Grand Oak,California,Luxury,5,10/6/2024,Fall,12270,70.64,3.2,Amenities,"Felt like a hostel, not a hotel."
H1398,Seaside Shores,Florida,Resort,4,10/6/2024,Fall,107520,73.74,3.9,Cleanliness,Room could smell a little better.
H1399,Metro Meridian,New York,Business,5,10/6/2024,Fall,50230,92.11,4.2,Amenities,Lots of extras included.
H1400,Budget Haven,Texas,Budget,3,10/6/2024,Fall,58230,94.61,4.7,Cleanliness,Hygiene standards were top notch.
H1401,Mountain Retreat,Colorado,Boutique,3,10/7/2024,Fall,66920,77.9,3.9,Cleanliness,Clean enough for a short stay.
H1402,The Grand Oak,California,Luxury,5,10/7/2024,Fall,59510,83.97,4.7,Food,Tasty and well-prepared dishes.
H1403,Seaside Shores,Florida,Resort,4,10/7/2024,Fall,31490,88.89,3.9,Food,Food took a while to arrive.
H1404,Metro Meridian,New York,Business,5,10/7/2024,Fall,60160,73.83,4,Cleanliness,Clean enough for a short stay.
H1405,Budget Haven,Texas,Budget,3,10/7/2024,Fall,109250,74.62,4.4,Amenities,Lots of extras included.
H1406,Mountain Retreat,Colorado,Boutique,3,10/8/2024,Fall,48320,92.59,3.8,Cleanliness,Room was spotless and well-kept.
H1407,The Grand Oak,California,Luxury,5,10/8/2024,Fall,110120,89.3,4.9,Service,Always greeted with a smile.
H1408,Seaside Shores,Florida,Resort,4,10/8/2024,Fall,29380,82.34,4.5,Amenities,Top-notch amenities with everything you need.
H1409,Metro Meridian,New York,Business,5,10/8/2024,Fall,54900,78.04,3.5,Cleanliness,A little bit of trash was still left in trash can.
H1410,Budget Haven,Texas,Budget,3,10/8/2024,Fall,111650,93.27,4.9,Service,Staff went above and beyond.
H1411,Mountain Retreat,Colorado,Boutique,3,10/9/2024,Fall,26320,83.09,4.8,Amenities,Lots of extras included.
H1412,The Grand Oak,California,Luxury,5,10/9/2024,Fall,33640,79.28,3.7,Food,Breakfast was limited but decent.
H1413,Seaside Shores,Florida,Resort,4,10/9/2024,Fall,14480,93.28,4.9,Service,Staff went above and beyond.
H1414,Metro Meridian,New York,Business,5,10/9/2024,Fall,11840,92.03,3.7,Food,Limited but decent selection.
H1415,Budget Haven,Texas,Budget,3,10/9/2024,Fall,19560,80.37,3.8,Food,Limited but decent selection.
H1416,Mountain Retreat,Colorado,Boutique,3,10/10/2024,Fall,42720,98,4.6,Amenities,Modern amenities and comfortable spaces.
H1417,The Grand Oak,California,Luxury,5,10/10/2024,Fall,85460,96.39,3.8,Food,Food was a highlight of the trip.
H1418,Seaside Shores,Florida,Resort,4,10/10/2024,Fall,96200,98.81,3.1,Cleanliness,A little bit of trash was still left in Trash Can
H1419,Metro Meridian,New York,Business,5,10/10/2024,Fall,76150,88.32,5,Amenities,Lots of extras included.
H1420,Budget Haven,Texas,Budget,3,10/10/2024,Fall,53410,87.29,5,Food,Tasty and well-prepared dishes.
H1421,Mountain Retreat,Colorado,Boutique,3,10/11/2024,Fall,106760,82.88,5,Cleanliness,Hygiene standards were top notch.
H1422,The Grand Oak,California,Luxury,5,10/11/2024,Fall,84860,99.45,3.8,Cleanliness,Room was mostly clean.
H1423,Seaside Shores,Florida,Resort,4,10/11/2024,Fall,64290,74.5,4.4,Food,Loved every meal served.
H1424,Metro Meridian,New York,Business,5,10/11/2024,Fall,69370,86.46,4.4,Amenities,Lots of extras included.
H1425,Budget Haven,Texas,Budget,3,10/11/2024,Fall,69870,87.35,4,Food,Limited vegetarian options.
H1426,Mountain Retreat,Colorado,Boutique,3,10/12/2024,Fall,7360,75.02,4.1,Cleanliness,Had to dust a bit but overall room was clean.
H1427,The Grand Oak,California,Luxury,5,10/12/2024,Fall,42520,81.34,3.7,Food,Breakfast was limited but decent.
H1428,Seaside Shores,Florida,Resort,4,10/12/2024,Fall,51500,87.81,4.6,Service,Always greeted with a smile.
H1429,Metro Meridian,New York,Business,5,10/12/2024,Fall,59450,94.93,4.3,Cleanliness,So clean it felt brand new.
H1430,Budget Haven,Texas,Budget,3,10/12/2024,Fall,47330,74.51,3.5,Service,"Staff was helpful, though not always available."
H1431,Mountain Retreat,Colorado,Boutique,3,10/13/2024,Fall,84660,94.11,4.2,Cleanliness,Cleaned twice a day – amazing!
H1432,The Grand Oak,California,Luxury,5,10/13/2024,Fall,8870,77.22,3.9,Cleanliness,Clean enough for a short stay.
H1433,Seaside Shores,Florida,Resort,4,10/13/2024,Fall,34480,98.15,4.4,Service,Exceptional staff and warm hospitality.
H1434,Metro Meridian,New York,Business,5,10/13/2024,Fall,98270,80.55,4.7,Service,Exceptional staff and warm hospitality.
H1435,Budget Haven,Texas,Budget,3,10/13/2024,Fall,40460,89.1,3.8,Cleanliness,A little bit of trash was still left in trash can.
H1436,Mountain Retreat,Colorado,Boutique,3,10/14/2024,Fall,123160,74.78,5,Service,Staff went above and beyond.
H1437,The Grand Oak,California,Luxury,5,10/14/2024,Fall,8610,71.35,4.5,Cleanliness,Hygiene standards were top notch.
H1438,Seaside Shores,Florida,Resort,4,10/14/2024,Fall,122150,84.83,5,Service,Exceptional staff and warm hospitality.
H1439,Metro Meridian,New York,Business,5,10/14/2024,Fall,65550,98.11,3.4,Cleanliness,Found small hairs on carpet.
H1440,Budget Haven,Texas,Budget,3,10/14/2024,Fall,61890,86.55,3.7,Cleanliness,Room could smell a little better.
H1441,Mountain Retreat,Colorado,Boutique,3,10/15/2024,Fall,109690,98.08,4.4,Food,Loved every meal served.
H1442,The Grand Oak,California,Luxury,5,10/15/2024,Fall,81510,97.55,4,Amenities,Modern amenities and comfortable spaces.
H1443,Seaside Shores,Florida,Resort,4,10/15/2024,Fall,17290,91.3,5,Cleanliness,Cleaned twice a day – amazing!
H1444,Metro Meridian,New York,Business,5,10/15/2024,Fall,8100,96.67,4.4,Cleanliness,Hygiene standards were top notch.
H1445,Budget Haven,Texas,Budget,3,10/15/2024,Fall,91790,87.22,3.7,Cleanliness,Room could smell a little better.
H1446,Mountain Retreat,Colorado,Boutique,3,10/16/2024,Fall,51030,84.28,3.2,Cleanliness,Room looked better than hallway.
H1447,The Grand Oak,California,Luxury,5,10/16/2024,Fall,84900,73.24,4.4,Service,Always greeted with a smile.
H1448,Seaside Shores,Florida,Resort,4,10/16/2024,Fall,69360,90.86,4.3,Food,Loved every meal served.
H1449,Metro Meridian,New York,Business,5,10/16/2024,Fall,76190,88.58,2.9,Amenities,Some amenities were broken or missing.
H1450,Budget Haven,Texas,Budget,3,10/16/2024,Fall,62830,97.22,4.7,Cleanliness,Hygiene standards were top notch.
H1451,Mountain Retreat,Colorado,Boutique,3,10/17/2024,Fall,67510,88.51,3.8,Cleanliness,Room was mostly clean.
H1452,The Grand Oak,California,Luxury,5,10/17/2024,Fall,13000,75.65,3.1,Food,Food was average.
H1453,Seaside Shores,Florida,Resort,4,10/17/2024,Fall,38660,85.45,4.6,Service,Exceptional staff and warm hospitality.
H1454,Metro Meridian,New York,Business,5,10/17/2024,Fall,117980,95.43,3.6,Cleanliness,Had to dust a bit but overall room was clean.
H1455,Budget Haven,Texas,Budget,3,10/17/2024,Fall,74000,96.08,4.5,Food,Tasty and well-prepared dishes.
H1456,Mountain Retreat,Colorado,Boutique,3,10/18/2024,Fall,28590,79.62,4.1,Cleanliness,Room could smell a little better.
H1457,The Grand Oak,California,Luxury,5,10/18/2024,Fall,73260,84.96,4,Cleanliness,Clean enough for a short stay.
H1458,Seaside Shores,Florida,Resort,4,10/18/2024,Fall,31700,72.77,4.3,Service,Exceptional staff and warm hospitality.
H1459,Metro Meridian,New York,Business,5,10/18/2024,Fall,40070,98.12,4.2,Cleanliness,Hygiene standards were top notch.
H1460,Budget Haven,Texas,Budget,3,10/18/2024,Fall,78590,88.39,3.3,Cleanliness,Found small hairs on carpet.
H1461,Mountain Retreat,Colorado,Boutique,3,10/19/2024,Fall,54050,93.13,3.6,Amenities,Modern amenities and comfortable spaces.
H1462,The Grand Oak,California,Luxury,5,10/19/2024,Fall,52640,94.06,3.7,Location,Perfect spot for our trip.
H1463,Seaside Shores,Florida,Resort,4,10/19/2024,Fall,103400,71.31,4.9,Service,Always greeted with a smile.
H1464,Metro Meridian,New York,Business,5,10/19/2024,Fall,22130,97.88,5,Cleanliness,Cleaned twice a day – amazing!
H1465,Budget Haven,Texas,Budget,3,10/19/2024,Fall,37080,86.1,4.8,Cleanliness,So clean it felt brand new.
H1466,Mountain Retreat,Colorado,Boutique,3,10/20/2024,Fall,25440,93.72,4,Cleanliness,Had to dust a bit but overall room was clean.
H1467,The Grand Oak,California,Luxury,5,10/20/2024,Fall,18600,95.89,3.5,Food,Breakfast was limited but decent.
H1468,Seaside Shores,Florida,Resort,4,10/20/2024,Fall,10080,86.49,3.9,Cleanliness,Room was mostly clean.
H1469,Metro Meridian,New York,Business,5,10/20/2024,Fall,88920,80.77,3.5,Food,Breakfast was limited but decent.
H1470,Budget Haven,Texas,Budget,3,10/20/2024,Fall,16430,71.4,3.5,Amenities,Modern amenities and comfortable spaces.
H1471,Mountain Retreat,Colorado,Boutique,3,10/21/2024,Fall,52180,89.39,4.5,Food,Loved every meal served.
H1472,The Grand Oak,California,Luxury,5,10/21/2024,Fall,61540,78.56,4.5,Cleanliness,Hygiene standards were top notch.
H1473,Seaside Shores,Florida,Resort,4,10/21/2024,Fall,88540,83.2,3.8,Cleanliness,Room was mostly clean.
H1474,Metro Meridian,New York,Business,5,10/21/2024,Fall,69150,95.71,4.6,Food,Tasty and well-prepared dishes.
H1475,Budget Haven,Texas,Budget,3,10/21/2024,Fall,116070,85.69,4.6,Service,Always greeted with a smile.
H1476,Mountain Retreat,Colorado,Boutique,3,10/22/2024,Fall,83730,97.54,3.9,Food,Food took a while to arrive.
H1477,The Grand Oak,California,Luxury,5,10/22/2024,Fall,41150,70.89,4.2,Service,Staff went above and beyond.
H1478,Seaside Shores,Florida,Resort,4,10/22/2024,Fall,63200,88.1,3.4,Food,Food was average.
H1479,Metro Meridian,New York,Business,5,10/22/2024,Fall,71820,86.1,4,Cleanliness,A little bit of trash was still left in trash can.
H1480,Budget Haven,Texas,Budget,3,10/22/2024,Fall,40810,96.54,4.2,Cleanliness,Cleaned twice a day – amazing!
H1481,Mountain Retreat,Colorado,Boutique,3,10/23/2024,Fall,9890,71.62,4.2,Food,Tasty and well-prepared dishes.
H1482,The Grand Oak,California,Luxury,5,10/23/2024,Fall,91640,90.44,5,Food,Tasty and well-prepared dishes.
H1483,Seaside Shores,Florida,Resort,4,10/23/2024,Fall,118500,86.55,4.9,Cleanliness,So clean it felt brand new.
H1484,Metro Meridian,New York,Business,5,10/23/2024,Fall,83390,79.33,3.7,Cleanliness,Room could smell a little better.
H1485,Budget Haven,Texas,Budget,3,10/23/2024,Fall,38850,95.63,4.4,Cleanliness,So clean it felt brand new.
H1486,Mountain Retreat,Colorado,Boutique,3,10/24/2024,Fall,85850,80.37,3.2,Food,Didn't match the 5 star reviews
H1487,The Grand Oak,California,Luxury,5,10/24/2024,Fall,101190,70.84,5,Service,Staff went above and beyond.
H1488,Seaside Shores,Florida,Resort,4,10/24/2024,Fall,73500,88.57,3.8,Cleanliness,Had to dust a bit but overall room was clean.
H1489,Metro Meridian,New York,Business,5,10/24/2024,Fall,11770,84.16,4.3,Cleanliness,Hygiene standards were top notch.
H1490,Budget Haven,Texas,Budget,3,10/24/2024,Fall,11080,96.03,3.8,Amenities,Modern amenities and comfortable spaces.
H1491,Mountain Retreat,Colorado,Boutique,3,10/25/2024,Fall,77420,94.07,3.1,Food,Didn't match the 5 star reviews
H1492,The Grand Oak,California,Luxury,5,10/25/2024,Fall,108460,79.16,4.1,Food,Limited but decent selection.
H1493,Seaside Shores,Florida,Resort,4,10/25/2024,Fall,110450,79.85,4.7,Service,Exceptional staff and warm hospitality.
H1494,Metro Meridian,New York,Business,5,10/25/2024,Fall,67770,87.3,5,Amenities,Lots of extras included.
H1495,Budget Haven,Texas,Budget,3,10/25/2024,Fall,52030,74.62,3.6,Amenities,Lots of extras included.
H1496,Mountain Retreat,Colorado,Boutique,3,10/26/2024,Fall,50040,97.67,5,Amenities,Top-notch amenities with everything you need.
H1497,The Grand Oak,California,Luxury,5,10/26/2024,Fall,76830,84.06,3.2,Amenities,Some amenities were broken or missing.
H1498,Seaside Shores,Florida,Resort,4,10/26/2024,Fall,83020,81.29,4.6,Food,Tasty and well-prepared dishes.
H1499,Metro Meridian,New York,Business,5,10/26/2024,Fall,46990,77.42,4.3,Cleanliness,Cleaned twice a day – amazing!
H1500,Budget Haven,Texas,Budget,3,10/26/2024,Fall,122060,86.86,3,Amenities,Very basic and outdated facilities.
H1501,Mountain Retreat,Colorado,Boutique,3,10/27/2024,Fall,85400,83.51,4.8,Food,Tasty and well-prepared dishes.
H1502,The Grand Oak,California,Luxury,5,10/27/2024,Fall,41020,73.84,4.3,Amenities,Top-notch amenities with everything you need.
H1503,Seaside Shores,Florida,Resort,4,10/27/2024,Fall,80930,83.92,4.4,Food,Tasty and well-prepared dishes.
H1504,Metro Meridian,New York,Business,5,10/27/2024,Fall,66840,81.42,4.6,Cleanliness,Cleaned twice a day – amazing!
H1505,Budget Haven,Texas,Budget,3,10/27/2024,Fall,94340,80.62,4.9,Cleanliness,Cleaned twice a day – amazing!
H1506,Mountain Retreat,Colorado,Boutique,3,10/28/2024,Fall,83750,76.24,3.7,Food,Food took a while to arrive.
H1507,The Grand Oak,California,Luxury,5,10/28/2024,Fall,114180,85.49,3.5,Food,Limited but decent selection.
H1508,Seaside Shores,Florida,Resort,4,10/28/2024,Fall,88420,95.76,4.6,Cleanliness,So clean it felt brand new.
H1509,Metro Meridian,New York,Business,5,10/28/2024,Fall,10470,82.32,4.4,Amenities,Top-notch amenities with everything you need.
H1510,Budget Haven,Texas,Budget,3,10/28/2024,Fall,76650,84.87,3.7,Cleanliness,A little bit of trash was still left in trash can.
H1511,Mountain Retreat,Colorado,Boutique,3,10/29/2024,Fall,35920,89.68,5,Food,Tasty and well-prepared dishes.
H1512,The Grand Oak,California,Luxury,5,10/29/2024,Fall,81740,81.55,3.4,Cleanliness,Room looked better than hallway.
H1513,Seaside Shores,Florida,Resort,4,10/29/2024,Fall,63620,90.9,4.2,Service,Always greeted with a smile.
H1514,Metro Meridian,New York,Business,5,10/29/2024,Fall,35320,84.74,3.9,Food,Breakfast was limited but decent.
H1515,Budget Haven,Texas,Budget,3,10/29/2024,Fall,41480,78.45,3.5,Service,No complaints at all with service.
H1516,Mountain Retreat,Colorado,Boutique,3,10/30/2024,Fall,121330,71.47,2.5,Amenities,"Felt like a hostel, not a hotel."
H1517,The Grand Oak,California,Luxury,5,10/30/2024,Fall,75630,89.7,3.9,Food,Breakfast was limited but decent.
H1518,Seaside Shores,Florida,Resort,4,10/30/2024,Fall,116090,83.59,3.8,Cleanliness,Room was mostly clean.
H1519,Metro Meridian,New York,Business,5,10/30/2024,Fall,109720,77.21,4,Cleanliness,Had to dust a bit but overall room was clean.
H1520,Budget Haven,Texas,Budget,3,10/30/2024,Fall,104540,75.65,3.5,Service,"Staff was helpful, though not always available."
H1521,Mountain Retreat,Colorado,Boutique,3,10/31/2024,Fall,16990,74,5,Service,Always greeted with a smile.
H1522,The Grand Oak,California,Luxury,5,10/31/2024,Fall,55140,81.44,3.6,Food,Tasty and well-prepared dishes.
H1523,Seaside Shores,Florida,Resort,4,10/31/2024,Fall,30630,71.79,4.6,Service,Exceptional staff and warm hospitality.
H1524,Metro Meridian,New York,Business,5,10/31/2024,Fall,77670,91.38,3.4,Amenities,Very basic and outdated facilities.
H1525,Budget Haven,Texas,Budget,3,10/31/2024,Fall,114460,88.74,5,Amenities,Top-notch amenities with everything you need.
H1526,Mountain Retreat,Colorado,Boutique,3,11/1/2024,Fall,72690,99.18,4.3,Service,Always greeted with a smile.
H1527,The Grand Oak,California,Luxury,5,11/1/2024,Fall,79420,93.15,4.5,Amenities,Modern amenities and comfortable spaces.
H1528,Seaside Shores,Florida,Resort,4,11/1/2024,Fall,91630,84.14,4.7,Service,Always greeted with a smile.
H1529,Metro Meridian,New York,Business,5,11/1/2024,Fall,7500,93.06,4.6,Cleanliness,Cleaned twice a day – amazing!
H1530,Budget Haven,Texas,Budget,3,11/1/2024,Fall,52520,80.03,4.1,Cleanliness,Had to dust a bit but overall room was clean.
H1531,Mountain Retreat,Colorado,Boutique,3,11/2/2024,Fall,40140,79.45,5,Amenities,Top-notch amenities with everything you need.
H1532,The Grand Oak,California,Luxury,5,11/2/2024,Fall,13210,74.14,3.9,Amenities,Modern amenities and comfortable spaces.
H1533,Seaside Shores,Florida,Resort,4,11/2/2024,Fall,52420,99.65,3,Amenities,Some amenities were broken or missing.
H1534,Metro Meridian,New York,Business,5,11/2/2024,Fall,82440,88.27,4.3,Cleanliness,Everything was sparkling clean and fresh.
H1535,Budget Haven,Texas,Budget,3,11/2/2024,Fall,94940,86.31,4.8,Service,Staff went above and beyond.
H1536,Mountain Retreat,Colorado,Boutique,3,11/3/2024,Fall,33340,79.52,4.8,Food,Loved every meal served.
H1537,The Grand Oak,California,Luxury,5,11/3/2024,Fall,99320,99.68,4.9,Cleanliness,Cleaned twice a day – amazing!
H1538,Seaside Shores,Florida,Resort,4,11/3/2024,Fall,93600,89.09,5,Service,Exceptional staff and warm hospitality.
